name,code,type,lat,lon,dms,corridor_nm,in_15nm_corridor,access,fuel,phone,contact,ppr,hours,official_data,sources
"H LOJP Karres","H","helipad","47.218889","10.768889","47°13'08.00""N 10°46'08.00""E","11.7","yes","ppr","nicht belegt","+43 5412 61421","+43 5412 61421","Betreiberfreigabe Heli Mount zwingend","nur PPR; aktuelle AIP/NOTAM-Bedingungen prüfen","","https://eaip.austrocontrol.at/lo/260806/PART_3/AD_3/LO_AD_3_en.pdf | https://www.heli-tirol.at/"
"LIPB Bolzano / Bozen","LIPB","airport","46.460300","11.326400","46°27'37.08""N 11°19'35.04""E","0.0","yes","ppr","Jet A1 06:00-23:00; AVGAS/MOGAS nur Aero Club, PPR/nach Verfügbarkeit","+39 0471 255207; +39 0471 250165","GA +39 0471 255207; Aero Club +39 0471 250165; info@aeroclub.bz","AVGAS zwingend vorab Aero Club","Operator 06:30-23:00 CET; Info 06:00-22:00","","https://www.bolzanoairport.it/en/fuel"
"LIDT Trento / Mattarello","LIDT","airport","46.021400","11.125000","46°01'17.04""N 11°07'30.00""E","0.0","yes","guest","AVIO 100LL H24, Jet A1, unleaded laut Betreiber","+39 0461 031000","Trentino Trasporti +39 0461 031000; airport@trentinotrasporti.it laut ENAC","Abstellung/Hangar vorab anfragen","H24; AFIS H24 119.655 MHz","","https://www.trentinotrasporti.it/en/airport/aeroporto-caproni"
"LIPN Verona Boscomantico","LIPN","airport","45.473050","10.926930","45°28'22.98""N 10°55'36.95""E","0.0","yes","ppr","AV-GAS laut Betreiber","+39 045 8103661; +39 045 563200","+39 045 8103661; operations@boscomanticoservizi.it; Aeroclub +39 045 563200","Koordination mit Betreiber","Di-So; saisonale Zeiten siehe Betreiber-Briefing","","https://www.boscomanticoairport.com/en/contact-us/"
"LIPX Verona Villafranca","LIPX","airport","45.396400","10.887800","45°23'47.04""N 10°53'16.08""E","4.2","yes","guest","Jet A1; AVGAS nicht verfügbar","+39 045 8095666","+39 045 8095666; Handler AGS/GH/Sky Services/Argos/Delta","PPR mandatory für private/GA laut Betreiberseite","H24; PPR subject to stand availability","","https://www.aeroportoverona.it/en_gb/flights/private-jets"
"LIPO Brescia Montichiari","LIPO","airport","45.428900","10.330600","45°25'44.04""N 10°19'50.16""E","9.6","yes","ppr","Jet A1 only, NO AVGAS laut Betreiber","+39 030 9656530; +39 030 9656531; +39 335 7973213","+39 030 9656530; +39 030 9656531; +39 335 7973213; operativo@aeroportobrescia.it","Alle Flüge 3 h vor Ankunft bei Operations anmelden","Operations H24; Fuel 07:00-15:00 UTC, außerhalb Anfrage per Mail","","https://www.aeroportobrescia.it/it_it/voli-privati"
"LIDA Asiago","LIDA","airport","45.887000","11.516000","45°53'13.20""N 11°30'57.60""E","17.8","no","ppr","unbekannt","+39 0424 465845","+39 0424 465845","Betreiber kontaktieren","PPR/öffentliche Betriebszeiten vorab prüfen","","https://www.aeroportoasiago.it/it/"
"LIDH Thiene","LIDH","airport","45.682000","11.496000","45°40'55.20""N 11°29'45.60""E","20.1","no","ppr","Jet A1, AVGAS und Benzina verde laut Betreiber; Self-Service in Betriebszeiten","+39 0445 362723","+39 0445 362723; info@aeroportothiene.it","Betreiber kontaktieren","Betriebszeiten/NOTAM/Betreiber prüfen","","https://www.aeroportothiene.it/associazioni/"
"LIDL Legnago","LIDL","airport","45.130100","11.293200","45°07'48.36""N 11°17'35.52""E","25.8","no","ppr","AV-GAS und MO-GAS laut Betreiber","+39 371 5696638; +39 335 6191318","+39 371 5696638; Präsident +39 335 6191318; info@aeroportolegnago.it","Betreiberkoordination, Hangar/Fuel vorab klären","Sa/So 09:00-19:30/SS; andere Tage nach Koordination","","https://www.aeroportolegnago.it/briefing/"
"LIPU Padova","LIPU","airport","45.396100","11.848100","45°23'45.96""N 11°50'53.16""E","38.8","no","ppr","unbekannt, vorab prüfen","+39 331 1759481","+39 331 1759481; info@airportpadova.com","Betreiber kontaktieren","08:00-20:00 LT laut Betreiberseite","","https://airportpadova.com/en/"
"LIPV Venezia/Lido - Nicelli","LIPV","airport","45.428300","12.388100","45°25'41.88""N 12°23'17.16""E","60.3","no","ppr","unbekannt","+39 041 770300","+39 041 770300; operativo@aeroportonicelli.com; info@aeroportonicelli.com","Betreiber kontaktieren","AIP/NOTAM/Betreiber prüfen","","https://aeroportonicelli.com/dove-siamo-eng/"
"LIDB Belluno","LIDB","airport","46.166600","12.250400","46°09'59.76""N 12°15'01.44""E","41.9","no","ppr","unbekannt","+39 0437 30667; +39 345 3056101","+39 0437 30667; +39 345 3056101; segreteria@aeroclubbelluno.org","Betreiber kontaktieren; besondere Alpen-/Qualifikationslage prüfen","Di-So 09:00-18:00 laut Aero-Club-Seite, AIP/NOTAM prüfen","","https://www.aeroclubbelluno.org/"
"LILR Cremona","LILR","airport","45.167200","10.001900","45°10'01.92""N 10°00'06.84""E","28.0","no","ppr","AVGAS 100LL, Jet A-1, MOGAS laut Aero Club; Verfügbarkeit vorab anrufen","+39 0372 560895; +39 351 5079340","+39 0372 560895; WhatsApp +39 351 5079340; segreteria@aeroclubcremona.it","Extra-Öffnung per E-Mail vorab; Betreiber bestätigen lassen","Mi-Fr 08:00-16:00/SS; Sa/So 08:00-17:00/SS; Mo/Di geschlossen, Ausnahmen/Extra Öffnung PPR","","https://www.aeroclubcremona.it/charts.html"
"BZ02 Colle di Casies","BZ02","field","46.765994","12.158525","46°45'57.58""N 12°09'30.69""E","38.8","no","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung/über Betreiber","Betreiberfreigabe und Südtirol-Schutzgebietslage klären","Nutzungszeiten/Betreiber über webAAI/PPR prüfen","webAAI/ENAC: Aviosuperficie, 1 Piste, Direktion Nord-Est, Stand 14.01.2026","https://webaai.it/it/aviosuperfici-enac/trentino_alto_adige/colle-di-casies_A051"
"BZ06 Costa / Corvara in Badia","BZ06","field","46.552456","11.861800","46°33'08.84""N 11°51'42.48""E","22.8","no","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung/über Betreiber","Betreiberfreigabe und Südtirol-Schutzgebietslage klären","Nutzungszeiten/Betreiber über webAAI/PPR prüfen","webAAI/ENAC: Aviosuperficie, Direktion Nord-Est, Stand 01.10.2025; publizierter Längengrad unvollständig","https://webaai.it/it/aviosuperfici-enac/trentino_alto_adige/costa_A053"
"BZ05 / LIGT San Genesio","LIGT","field","46.572800","11.307736","46°34'22.08""N 11°18'27.85""E","3.8","yes","unknown","nicht belegt","335218916","335218916 laut früherem ENAC-Eintrag; aktuelle Detailkontakte nach webAAI-Anmeldung","Betreiberfreigabe und Südtirol-Schutzgebietslage klären","Nutzungszeiten/Betreiber über webAAI/PPR prüfen","webAAI/ENAC: Aviosuperficie, Direktion Nord-Est, Stand 10.10.2024","https://webaai.it/it/aviosuperfici-enac/trentino_alto_adige/san-genesio_A103"
"BZ03 Sarentino","BZ03","field","46.602855","11.379926","46°36'10.28""N 11°22'47.73""E","7.2","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung/über Betreiber","Betreiberfreigabe und Südtirol-Schutzgebietslage klären","Nutzungszeiten/Betreiber über webAAI/PPR prüfen","webAAI/ENAC: Aviosuperficie, Direktion Nord-Est, Stand 08.10.2025","https://webaai.it/it/aviosuperfici-enac/trentino_alto_adige/sarentino_A048"
"BZ07 Villa Ottone / Gais","BZ07","field","46.876119","11.949072","46°52'34.03""N 11°56'56.66""E","35.6","no","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung/über Betreiber","Betreiberfreigabe und Südtirol-Schutzgebietslage klären","Nutzungszeiten/Betreiber über webAAI/PPR prüfen","webAAI/ENAC: Aviosuperficie, Direktion Nord-Est, Stand 15.05.2025","https://webaai.it/it/aviosuperfici-enac/trentino_alto_adige/villa-ottone_A173"
"Tezze di Ceresara","AV","field","45.263294","10.583206","45°15'47.86""N 10°34'59.54""E","8.8","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe","Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Aviosuperficie, 1 Piste, Direktion Milano Linate, Stand 25.11.2024","https://webaai.it/it/aviosuperfici-enac/lombardia/tezze-di-ceresara_A111"
"Ceresara","AV","field","45.263611","10.533333","45°15'49.00""N 10°31'60.00""E","9.3","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe","Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Aviosuperficie, 1 Piste, Direktion Milano Linate, Stand 14.03.2025","https://webaai.it/it/aviosuperfici-enac/lombardia/ceresara_A117"
"VR17 Garda Lake Airfield / Castelnuovo","VR17","field","45.451900","10.723200","45°27'06.84""N 10°43'23.52""E","0.5","yes","unknown","nicht belegt","+39 366 182 7401","+39 366 182 7401; info@gardalakeairfield.it","PPR anfragen","Day VFR; Details Betreiber","","https://www.gardalakeairfield.com/en"
"BS15 Le Panizze / Lonato del Garda","BS15","field","45.418300","10.559200","45°25'05.88""N 10°33'33.12""E","0.0","yes","unknown","nicht belegt","+39 335 5378373; +39 335 406584; +39 331 3611207","Claudio +39 335 5378373; Ugo +39 335 406584; Mattia +39 331 3611207","obligatorisches Formular; Landing 31, Takeoff 13","alle Tage laut Website, aber Betreiberfreigabe entscheidend","","https://lepanizze.it/en/"
"BS16 Silvio Scaroni / Bedizzole","BS16","field","45.517338","10.448269","45°31'02.42""N 10°26'53.77""E","7.6","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung/über Betreiber","Betreiberdaten via webAAI prüfen","PPR/Betreiber offen","webAAI/ENAC: Aviosuperficie, 1 Piste, Direktion Bergamo, Stand 23.09.2025","https://webaai.it/it/aviosuperfici-enac/lombardia/silvio-scaroni_A123"
"VR15 Arcadia / Pastrengo","VR15","field","45.501100","10.788900","45°30'03.96""N 10°47'20.04""E","2.9","yes","unknown","nicht belegt / Sekundärquelle nennt Jet A1, verifizieren","335224889","Tel. 335224889 laut ENAC-Eintrag","Betreiberfreigabe erforderlich","Betreiber/PPR offen","","https://avio-superfici.enac.gov.it/en/public/surface/show/1109"
"VR06 ULM Scaligero / Valeggio","VR06","field","45.319700","10.715000","45°19'10.92""N 10°42'54.00""E","5.3","yes","unknown","nicht belegt","+39 337 460979; +39 347 1047551","+39 337 460979; +39 347 1047551 laut ULM.it","Betreiber kontaktieren","Betreiber/PPR offen","","https://www.ulm.it/mobile/campivolo/scheda.htm?chiave=164&condizione=regione&sel_ordine=nome+asc&valore=veneto"
"VR13 Aliveneta / Isola della Scala","VR13","field","45.250900","11.036100","45°15'03.24""N 11°02'09.96""E","14.1","yes","unknown","nicht belegt","+39 340 2238610","+39 340 2238610; info@aliveneta.it","Betreiber kontaktieren","Betreiber/PPR offen","","https://www.aliveneta.it/index.php?route=information%2Fcontact"
"VR01 Aquile Randagie / Sorga","VR01","field","45.214000","10.960000","45°12'50.40""N 10°57'36.00""E","15.5","no","unknown","nicht belegt","noch nicht belastbar verifiziert","webAAI-Platzdetails; AAI-Daten sind nicht amtlich","Betreiberkontakt über webAAI prüfen","Betreiber/PPR offen","","https://webaai.it/it/aviostrutture/veneto/aquile-randagie_VR01?free=1"
"VR03 Volo Leggero / Isola Rizza","VR03","field","45.300000","11.190000","45°17'60.00""N 11°11'24.00""E","15.2","no","unknown","nicht belegt","noch nicht belastbar verifiziert","webAAI-Platzdetails; AAI-Daten sind nicht amtlich","Betreiberkontakt über webAAI prüfen","Betreiber/PPR offen","","https://webaai.it/it/aviostrutture/veneto/volo-leggero_VR03?free=1"
"H Moritzing / Bozen","H","helipad","46.502810","11.306823","46°30'10.12""N 11°18'24.56""E","1.0","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe","Nachtbetrieb nein; Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 08.07.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/moritzing_EA03"
"H Schloss Freudenstein","H","helipad","46.464540","11.247731","46°27'52.34""N 11°14'51.83""E","2.3","yes","guest","nicht belegt","+39 0471 661308","+39 0471 661308; info@schlossfreudenstein.com","Schloss Freudenstein vorab kontaktieren","Nachtbetrieb nein; nur nach Voranmeldung und schriftlicher Betreiberbestätigung","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 28.10.2025","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/freudenstein_EC40 | https://schlossfreudenstein.com/it/contatto/dove-siamo-e-come-arrivare/"
"H Hochplatter","H","helipad","46.630278","11.195278","46°37'49.00""N 11°11'43.00""E","2.4","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe; Schutzgebietslage prüfen","Nachtbetrieb nein; Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 11.06.2025","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/hochplatter_EC28"
"H Quinto / Verona","H","helipad","45.485556","11.022056","45°29'08.00""N 11°01'19.40""E","3.7","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe","Nachtbetrieb laut Register ja; konkrete Zeiten und Beleuchtung per Betreiber","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Nachtbetrieb ja, Direktion Nord-Est, Stand 05.03.2024","https://webaai.it/it/elisuperfici-enac/veneto/quinto_EA07"
"H Tirolo","H","helipad","46.692833","11.161028","46°41'34.20""N 11°09'39.70""E","3.8","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe; Schutzgebietslage prüfen","Nachtbetrieb nein; Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 20.10.2025","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/tirolo_EB90"
"H Air Corporate / Verona","H","helipad","45.367531","10.859217","45°22'03.11""N 10°51'33.18""E","5.6","yes","ppr","nicht belegt","+39 045 8600910","+39 045 8600910; info@aircorporate.it","Air Corporate vorab schriftlich bestätigen lassen","Nachtbetrieb nein; Betriebszeiten per Operator","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 17.04.2025","https://webaai.it/it/elisuperfici-enac/veneto/air-corporate_EC21 | https://www.aircorporate.it/"
"H Renon / Ritten","H","helipad","46.549627","11.492635","46°32'58.66""N 11°29'33.49""E","8.7","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe; Schutzgebietslage prüfen","Nachtbetrieb nein; Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 17.07.2025","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/renon_EC31"
"H Hotel Andreus / St. Leonhard","H","helipad","46.769422","11.225769","46°46'09.92""N 11°13'32.77""E","8.8","yes","guest","nicht belegt","+39 0473 491330","+39 0473 491330; info@andreus.it","Voranmeldung beim Hotel zwingend","Nachtbetrieb nein; Hotel vorab informieren, Landung und Abstellung bestätigen","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 30.01.2026","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/hotel-andreus-carina_EB64 | https://www.andreus-resorts.it/en/hosts-team/directions-location/"
"H BMA Bosio Motori Aeronautica","H","helipad","45.428397","10.335961","45°25'42.23""N 10°20'09.46""E","9.4","yes","ppr","nicht belegt","+39 030 964285","+39 030 964285; info@bosiomotori.it","BMA vorab schriftlich/telefonisch bestätigen lassen","Nachtbetrieb nein; Betriebszeiten per Operator","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Bergamo, Stand 15.11.2024","https://webaai.it/it/elisuperfici-enac/lombardia/bma-bosio-motori-aeronautica_EA20 | https://www.bosiomotori.it/"
"H Goldrain / Latsch","H","helipad","46.623333","10.822222","46°37'24.00""N 10°49'20.00""E","9.6","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe; Schutzgebietslage prüfen","Nachtbetrieb nein; Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 23.10.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/goldrain_EB43"
"H San Martino in Passiria","H","helipad","46.793469","11.231900","46°47'36.49""N 11°13'54.84""E","9.9","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe","Nachtbetrieb nein; zwei FATO veröffentlicht, Zeiten per Betreiber","webAAI/ENAC: Elisuperficie am Boden, 2 FATO, Direktion Nord-Est, Stand 04.10.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/san-martino-in-passiria_EA79"
"H Villanderer Alm","H","helipad","46.648889","11.490833","46°38'56.00""N 11°29'27.00""E","12.5","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe; Berg-/Schutzgebietslage prüfen","Nachtbetrieb nein; Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 22.07.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/villanderer-alm_EA60"
"H Felder Alpin Lodge","H","helipad","46.636944","11.530556","46°38'13.00""N 11°31'50.00""E","13.3","yes","guest","nicht belegt","+39 335 8474817","+39 335 8474817 laut Unterkunftsverzeichnis; info@felder-alpin.com","schriftliche Bestätigung der Felder Alpin Lodge einholen","Nachtbetrieb nein; Landung/Transfer vorab mit Unterkunft abstimmen","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 02.05.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/felder_EA33 | https://www.felder-alpin.com/location/"
"H Brembach","H","helipad","46.594078","11.584486","46°35'38.68""N 11°35'04.15""E","13.3","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakt nach kostenloser webAAI-Anmeldung/über Betreiber","Registeraufnahme ist keine Landefreigabe; Berg-/Schutzgebietslage prüfen","Nachtbetrieb nein; Betreiber/PPR vor Nutzung klären","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 27.02.2025","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/brembach_EA21"
"H Elikos / Pontives","H","helipad","46.586772","11.630583","46°35'12.38""N 11°37'50.10""E","14.7","yes","ppr","nicht belegt","+39 331 8877888; +39 335 7880150; +39 335 7880149","+39 331 8877888; +39 335 7880150; +39 335 7880149; info@elikos.com","Elikos vorab bestätigen; keine automatische Gastfreigabe","Nachtbetrieb nein; Betriebszeiten und Fremdanflug per Operator","webAAI/ENAC: Elikos, 1 FATO, Direktion Nord-Est, Stand 25.06.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/elikos_EA29 | https://www.elikos.com/helicopter/contact.php | https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/eligardena_EA66"
"H Tenne Lodges / Ratschings","H","helipad","46.865000","11.305556","46°51'54.00""N 11°18'20.00""E","14.9","yes","guest","nicht belegt","+39 0472 433300","+39 0472 433300; info@tenne-suedtirol.com","Tenne Lodges vorab schriftlich bestätigen lassen","Nachtbetrieb nein; Landung und Transfer nur nach Voranmeldung","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Direktion Nord-Est, Stand 29.09.2025","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/tenne-lodges-platform_EC07 | https://www.tenne-suedtirol.com/de/lodges-chalets/preisinfos-faqs | https://www.tenne-suedtirol.com/de/info-service/anreise"
"H Salò - Lago di Garda","H","helipad","45.607483","10.503189","45°36'26.94""N 10°30'11.48""E","7.6","yes","unknown","nicht belegt","3457770606","3457770606; paolopern@gmail.com laut früherem ENAC-Eintrag; aktuell über webAAI bestätigen","Betreiberfreigabe zwingend","Nachtbetrieb nein; weitere Nutzungszeiten per Betreiber/PPR","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Nachtbetrieb nein, Direktion Bergamo, Stand 17.03.2025","https://webaai.it/it/elisuperfici-enac/lombardia/salo-lago-di-garda_EC10"
"H Sirmione","H","helipad","45.458417","10.603694","45°27'30.30""N 10°36'13.30""E","2.0","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung/über Betreiber","Betreiberfreigabe zwingend","Nachtbetrieb nein; weitere Nutzungszeiten per Betreiber/PPR","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Nachtbetrieb nein, Direktion Bergamo, Stand 14.07.2026","https://webaai.it/it/elisuperfici-enac/lombardia/sirmione_EA36"
"H Merano - Sinigo","H","helipad","46.645000","11.163611","46°38'42.00""N 11°09'49.00""E","2.0","yes","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung; zusätzlich Provinz Bozen prüfen","Betreiber + Südtirol-Schutzgebietslage klären","Nachtbetrieb nein; weitere Nutzungszeiten per Betreiber/PPR","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Nachtbetrieb nein, Direktion Nord-Est, Stand 26.08.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/merano-sinigo_EA02"
"H JEUF DE FREA","H","helipad","46.549681","11.806850","46°32'58.85""N 11°48'24.66""E","20.5","no","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung; zusätzlich Provinz Bozen","Betreiber + Provinz Bozen klären","Nachtbetrieb nein; weitere Nutzungszeiten per Betreiber/PPR","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Nachtbetrieb nein, Direktion Nord-Est, Stand 03.06.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/jeuf-de-frea_EA45"
"H SECEDA","H","helipad","46.598114","11.727108","46°35'53.21""N 11°43'37.59""E","18.5","no","unknown","nicht belegt","noch nicht belastbar verifiziert","Detailkontakte nach kostenloser webAAI-Anmeldung; zusätzlich Provinz Bozen","Betreiber + Provinz Bozen klären","Nachtbetrieb nein; weitere Nutzungszeiten per Betreiber/PPR","webAAI/ENAC: Elisuperficie am Boden, 1 FATO, Nachtbetrieb nein, Direktion Nord-Est, Stand 04.07.2024","https://webaai.it/it/elisuperfici-enac/trentino_alto_adige/seceda_EA86"
